d1,d2,d3,d4,d5,d6,tau,lambda,mu,tau_c,sigma,decompose_covar_prob,MedianFitness,MedianFitnessMagnitude,MedianNumFuncEvals,MedianTime,SuccessRate
0.833716924900987,0.0801563802108701,0.221053780389151,0.836405637308157,0.973753768152424,0.866289505468948,0.19916512478973236,384,51,33.486422798785526,50.05097647813803,0.8676266104142585,9.852740575759369e-8,-7.1,2.910721e6,84.078374196,1.0
0.630978659493849,0.631518263003922,0.658571829054771,0.995041348705334,0.255885452165135,0.537849469409723,0.027847685434582093,2624,181,8.699192155239512,0.35140473320628646,0.5424709747156258,27.885663475368638,1.4,5.961729e6,128.029145503,0.0
0.31389758383323,0.160803909413517,0.425932376379413,0.296640169607209,0.584809670224786,0.0444930636856173,0.0012837377042274752,704,66,71.27149162881317,3.40863313218262,0.054048133048761125,1.8507023501133362e-5,-4.8,5.063169e6,128.032629629,0.0
0.115593004239989,0.881197365300198,0.107038160985602,0.602686153857836,0.56943026191688,0.800629131096814,0.00018738616478004226,3648,639,4.592747578932656,3.0650815657015054,0.8026228397858458,34.94033395747906,1.5,3.866881e6,127.760977312,0.0
0.966256863005193,0.330128947971389,0.974295646683978,0.563043069127681,0.104891353286803,0.217190043701391,0.7207626122744786,1408,72,35.117401543475644,0.12382983956367594,0.2250181432643771,3.433187791806543,0.5,6.099457e6,128.022769506,0.0
0.207192666861894,0.79376423528551,0.565388677841319,0.160046070148902,0.820634086316984,0.572502847328516,0.0004558027774101305,3264,251,34.925126948585685,17.380149560262986,0.5767778188552308,47.611608932065984,1.6,5.545537e6,128.056738116,0.0
0.550823934841901,0.507610627815926,0.799754126463085,0.0582296373322606,0.41002363109562,0.323644051161994,0.012793325057582496,2112,126,180.33018269912768,1.0191125356141206,0.3304076106503741,28.266110691053633,1.4,5.875585e6,128.034774592,0.0
0.837983200339135,0.961269922255073,0.0974914878979325,0.927295222237706,0.95752818305511,0.322916987102013,0.20758366195298095,3968,714,3.093834510951406,44.74410232936701,0.3296878172309929,47.210708414731045,1.6,3.983873e6,128.082762671,0.0
0.0397671649637632,0.242860471792053,0.838628570404835,0.818074744130485,0.870379044037312,0.13042973224353,8.977917156786626e-5,1024,59,29.708153991704382,24.50690021692086,0.1391254349210947,9.734504140273285e-8,-7.1,5.389313e6,109.592811364,1.0
0.132099580868613,0.005271272782702,0.781563618816901,0.169687219137792,0.923994757791981,0.031619870306924,0.00021993946701860654,64,4,2011.1870666627267,35.49241277990597,0.041303671603854765,5.184744102616127e9,9.7,64065.0,1.701031444,0.0
0.38715807847213,0.0344876034711488,0.108294888279866,0.898063790571876,0.232260492008645,0.42198891259823,0.002613525767427293,192,34,46.396428428256634,0.2984920209512469,0.4277690234722477,8.32161347960713e-8,-7.1,1.382977e6,47.840708372,1.0
0.0955864841863513,0.218676825763192,0.399356566949282,0.98357042992441,0.136260467212647,0.895225440920796,0.00015431979779699246,960,93,16.158613604685048,0.15379161303102984,0.896273186511588,7.457697457821706,0.8,5.209921e6,128.005800161,0.0
0.976876398051623,0.12405349957617,0.0168164617866278,0.803287014203146,0.759639314970933,0.220035166041926,0.7990011987303324,576,135,13.776538215527147,11.404314758191973,0.22783481438150674,41.06870812203494,1.6,3.279745e6,128.011420486,0.0
0.0977329404470511,0.438926147412509,0.970458397093695,0.968061123180669,0.535834243855439,0.943273290023673,0.0001575678879164061,1856,96,15.919363808263027,2.4302669563331882,0.9438405571234363,3.3880770519474,0.5,6.703873e6,128.023429515,0.0
0.102665726948064,0.0829259999305941,0.810981306485832,0.99057195717888,0.932441255477723,0.847702267786022,0.00016529379371918684,384,23,61.861749562907654,37.62487075977281,0.8492252451081618,9.181025185660195e-8,-7.1,2.879617e6,60.557993751,1.0
0.985627939636819,0.111805198591202,0.903150281289592,0.949879255616106,0.273013656737749,0.998647413519677,0.8698214279126527,512,28,53.1277839121255,0.3955416497583091,0.9986609393844802,9.540303704102421e-8,-7.1,3.693057e6,74.795781406,1.0
0.485575864472426,0.0253552647088654,0.136153311530128,0.0993590766671114,0.896785799342208,0.991044258379843,0.006792046741564721,192,32,424.3374344657233,29.410922611947697,0.9911338157960445,9.747194049821912e-8,-7.1,3.646657e6,119.699862234,1.0
0.928262941714376,0.0791064918162301,0.0950644893012941,0.973149981963914,0.259252253971994,0.850228120235261,0.4985054505726754,384,70,21.354213094937524,0.35967314489539165,0.8517258390329083,39.5744450146828,1.5,3.723265e6,128.024217889,0.0
0.0421183586176485,0.000941114929970354,0.0165424334281124,0.865951962120365,0.879715676817577,0.906196129519492,9.185113158269507e-5,64,16,101.0309185281417,26.139560474856996,0.9071341682242972,9.933784602286198e-8,-7.1,1.077761e6,48.935029732,1.0
0.638068742226809,0.173401775076054,0.819079946258571,0.982411568066571,0.908150819551665,0.98471543914685,0.02983112903041093,768,45,32.364630636987016,31.812932869244225,0.9848682847553815,8.966379028570004e-8,-7.1,4.120321e6,82.495307865,1.0
0.894264949094504,0.191436433024239,0.984552872423548,0.58328775002202,0.793938463943545,0.771220496979542,0.3584165813940851,832,43,56.15536535720974,14.453287520236973,0.7735082920097466,9.606874571386366e-8,-7.1,4.219073e6,85.71686262200001,1.0
0.685590802625753,0.0119409938966855,0.648357222036924,0.36872762466548,0.409126181634143,0.956969194024801,0.047309418445874135,128,9,416.4822932847075,1.0128142317480866,0.9573995020845529,9.343457630394119e-8,-7.1,1.824065e6,52.672670049000004,1.0
