d1,d2,d3,d4,d5,d6,covar_learning_rate,sigma,lambda,mu,covarMatrixSampler,utilitiesFunc,MedianFitness,MedianNumFuncEvals,SuccessRate
0.28964470885694,0.925443890072139,0.894345138055672,0.0514847582671791,0.517008922096076,0.262650412341048,0.715857883542776,42.56366638550881,58,26,CholeskyCovarSampler,linear_utilities,0.8218629291562562,2.206089e6,0.0
0.102508490971689,0.783936313519787,0.705127112334594,0.600941919322525,0.949030742514879,0.652217770527516,0.6410033963886755,22.183183791456088,47,9,CholeskyCovarSampler,log_utilities,7.086144671976791,1.916238e6,0.0
0.983852570943002,0.152458928259356,0.236045522216175,0.374238767461585,0.751709352347201,0.9051515093805,0.9935410283772008,1.2107907847286117,21,5,CholeskyCovarSampler,log_utilities,9.697044514511186e-8,54475.0,1.0
0.802406907281173,0.0462524657071169,0.776770378629278,0.990962912461587,0.22740023915789,0.514033804381532,0.9209627629124693,0.7424311442196612,51,7,EigenCovarSampler,log_utilities,7.179310826776442e-8,21166.0,1.0
0.50987343693019,0.357578237374712,0.4347266977919,0.775577404336738,0.669663536062996,0.829388730527301,0.8039493747720761,3.113921966437111,32,5,CholeskyCovarSampler,log_utilities,8.409324148188346e-8,20321.0,0.8
0.17967653467453,0.592928934742564,0.350477038683104,0.434762114658952,0.338806565917496,0.31642412740205,0.671870613869812,9.204689007287714,28,7,EigenCovarSampler,linear_utilities,193.70004958212914,1.207249e6,0.0
0.66062029717224,0.522443375882826,0.142376401162307,0.145865618218003,0.0804083476042641,0.09362027079,0.864248118868896,6.653313722671291,16,6,EigenCovarSampler,linear_utilities,7.2511103312941305,825201.0,0.0
0.892835528026801,0.382475427857135,0.884552798055112,0.809577293154784,0.952604825232178,0.067422130279243,0.9571342112107204,3.492224108027863,58,9,CholeskyCovarSampler,linear_utilities,9.407900148042843e-8,97441.0,1.0
0.968614240376744,0.201596680086106,0.0995964786470868,0.775137429598253,0.414208391737193,0.376379126194865,0.9874456961506977,1.5182546172560496,14,3,EigenCovarSampler,linear_utilities,9.841953793532685e-8,48119.0,0.8
0.862132328479085,0.293361666826997,0.792002135934308,0.298773056459147,0.984801646579988,0.780894384425599,0.9448529313916341,2.3167255272166316,52,14,CholeskyCovarSampler,log_utilities,8.954715735008528e-8,76025.0,0.8
0.978588512972929,0.408302199002355,0.957786165653961,0.648539581460645,0.580674550096737,0.941285169428447,0.9914354051891716,3.9332871057264387,62,11,CholeskyCovarSampler,log_utilities,9.672452972357077e-8,119661.0,1.0
0.794777407216607,0.00521331656491384,0.982974211362889,0.166974903345108,0.470957067430718,0.680486833159812,0.9179109628866428,0.6145792364183235,63,21,EigenCovarSampler,log_utilities,8.3545367804918e-8,66466.0,1.0
0.891941767962417,0.0450822030659765,0.390981695750961,0.139858356104232,0.475378576588118,0.257913444751175,0.9567767071849668,0.7384407530554953,30,11,EigenCovarSampler,linear_utilities,9.875653190206048e-8,313441.0,1.0
0.507200090904953,0.0230889839748852,0.528951554944506,0.530309769569431,0.0213521110860165,0.698856116959359,0.8028800363619812,0.6673124358736231,38,8,EigenCovarSampler,log_utilities,8.1082766503573e-8,57989.0,0.6
0.930249565975973,0.542501963438699,0.607739811344072,0.939545959387906,0.500959880533628,0.471908192586852,0.9720998263903892,7.29718198447582,42,6,CholeskyCovarSampler,linear_utilities,9.392475829201814e-8,68461.0,1.0
0.306238722328562,0.373906428220216,0.996747940814821,0.642166008888744,0.864483111101435,0.851162550786976,0.7224954889314248,3.3570986765212503,64,11,CholeskyCovarSampler,log_utilities,3.9858877695994885,2.344129e6,0.2
0.180964033183409,0.310704955430701,0.942269803850213,0.94055481131305,0.970526285700034,0.351839563667309,0.6723856132733635,2.5093495436972524,61,8,CholeskyCovarSampler,linear_utilities,304.218327199601,2.015197e6,0.0
0.935229039975675,0.52072211610619,0.0539873446687125,0.556026048650965,0.0658692192484159,0.773564476668835,0.9740916159902699,6.600783410249141,11,3,EigenCovarSampler,log_utilities,9.16349064904107e-8,14246.0,0.8
0.82706698455615,0.0175180573249236,0.590839455300011,0.0121210287883878,0.00178599864128046,0.537472371241311,0.93082679382246,0.65041023236302,41,20,EigenCovarSampler,log_utilities,8.465687249715665e-8,106642.0,0.6
0.615940728953574,0.221879029644188,0.893436700670281,0.171031808819389,0.376865390388994,0.094962793821469,0.8463762915814296,1.6668990906737704,58,20,EigenCovarSampler,linear_utilities,11509.75782941281,2.267047e6,0.0
0.960320871706353,0.725244255567668,0.155513962183613,0.755368648519507,0.609884201241657,0.944559639059007,0.9841283486825412,16.92932964263625,17,3,CholeskyCovarSampler,log_utilities,8.614250766594992e-8,23478.0,0.8
0.91946687337826,0.848669981043786,0.685627951270435,0.345168076965492,0.0566770187357906,0.00296411745017394,0.967786749351304,29.88761171656019,46,12,EigenCovarSampler,linear_utilities,9.832055088206646e-8,241363.0,1.0
0.628695486307843,0.0359263670188375,0.142490922076395,0.928911910465686,0.969647841503611,0.595311295198044,0.8514781945231371,0.7079522794406784,16,3,CholeskyCovarSampler,log_utilities,9.131692574104193e-8,28577.0,0.8
0.921673965133959,0.802198611070635,0.132139584865654,0.972112200509291,0.352608678682009,0.100071478052996,0.9686695860535837,24.12950832104436,15,2,EigenCovarSampler,linear_utilities,7.93947683009773e-8,23386.0,0.8
0.982924346266082,0.121527747205691,0.681166688854573,0.628626161812572,0.468997088718461,0.0200803128746338,0.9931697385064329,1.0500421796270272,46,8,EigenCovarSampler,linear_utilities,9.871687271425801e-8,222503.0,1.0
