d1,d2,d3,d4,d5,d6,lambda,mu,covarMatrixSampler,utilitiesFunc,covar_learning_rate,sigma,Fitness,NumFuncEvals,Time,Reason
0.454541327781044,0.589559861808084,0.914816957122336,1.12263604905456,0.919846855926638,-0.0931275043015678,8,4,EigenCovarSampler,linear_utilities,0.919846855926638,48.419884158177275,7.553184764733577,796193,16.000549708,Exceeded time budget
2.98776356864255,2.10225219407585,0.965986906938876,0.202566655042271,0.678322491329163,-0.889412390378614,256,32,EigenCovarSampler,log_utilities,0.678322491329163,7.739962561791564,9.435733422634708e-8,620033,3.175074997,Within ftol
1.05667852389161,0.353722784551792,0.413518736526991,1.48678045502553,0.851865593297407,-0.113302388694137,32,16,EigenCovarSampler,linear_utilities,0.851865593297407,46.222013672154596,1052.2164321288626,1867233,16.013237187,Exceeded time budget
2.61133114853874,2.01974693580996,1.13094228731158,0.78059452228869,0.628317297607039,-1.5799911300807,256,32,CholeskyCovarSampler,log_utilities,0.628317297607039,1.578193027418382,4481.229366270167,3348481,16.01547594,Exceeded time budget
2.95371300575789,2.30596232810058,0.94156960134084,0.0857263216748834,0.800116365309805,-1.51153038395569,256,32,EigenCovarSampler,log_utilities,0.800116365309805,1.847654935403748,9.039508487652287e-8,108801,0.514651894,Within ftol
0.95368119282648,1.6936127867084,1.75967078423128,1.33816240852078,0.603610834293067,-1.06852308505525,8,2,CholeskyCovarSampler,linear_utilities,0.603610834293067,5.124224697549902,0.028832470520362773,830089,16.009455998,Exceeded time budget
0.239956054254435,1.27558697527274,1.67155833976964,1.5547728013092,0.674730107234791,-0.693419100173439,8,2,CholeskyCovarSampler,linear_utilities,0.674730107234791,12.154361529172487,0.11712949878500026,794121,16.015244384,Exceeded time budget
2.99743638653308,0.343257589149289,0.97913131210953,1.58014201776435,0.681939328663672,-0.714430248520027,256,128,EigenCovarSampler,linear_utilities,0.681939328663672,11.580331770027207,365.2797847676975,3262465,16.001241811,Exceeded time budget
1.70104549790267,2.88618647796102,0.562339913720886,1.63996619257766,0.740635641198605,-1.81997573546444,32,4,EigenCovarSampler,linear_utilities,0.740635641198605,0.9081874891308385,9.90662225240945e-8,167809,1.828581949,Within ftol
0.0259368882980198,2.10032363014761,0.907535286465039,0.64447505841963,0.98096587350592,-0.699075186547513,8,1,EigenCovarSampler,log_utilities,0.98096587350592,11.997094060003633,8.816480370542808e-8,24481,0.398638755,Within ftol
1.34025334205944,2.80134097929113,1.13768903693805,0.514778469922021,0.658584813820198,-0.359906357402603,32,4,CholeskyCovarSampler,log_utilities,0.658584813820198,26.19659783719252,4.482583680613126,1380769,16.015297301,Exceeded time budget
0.954136500018649,0.320042703067884,1.8005815052893,1.12306738217982,0.922101281955838,-1.16990129866948,8,4,CholeskyCovarSampler,linear_utilities,0.922101281955838,4.05741987013575,120.1129588098467,589561,16.000624854,Exceeded time budget
0.244886492146179,1.81540261034388,1.88474085065536,0.990189575124532,0.916937184846029,-1.43228383494231,8,2,CholeskyCovarSampler,log_utilities,0.916937184846029,2.217519336121049,9.919817741993996e-8,39441,0.529184616,Within ftol
1.92142119864002,2.44583606743254,1.95504802791402,0.314864237249518,0.675532491427536,-1.09972535617029,32,4,CholeskyCovarSampler,log_utilities,0.675532491427536,4.768984316695899,4.362615171034937e-5,1571425,16.000541023,Exceeded time budget
1.49580671323929,2.84208760550246,0.24208145821467,1.21918059481929,0.929486896221836,-1.44987896837605,32,4,EigenCovarSampler,linear_utilities,0.929486896221836,2.1294737064010554,3.9858877695994885,2086977,16.009636447,Exceeded time budget
0.148670117836446,2.37340513488743,0.585660595990097,1.99348466020698,0.860549092292786,-1.17734345902378,8,1,EigenCovarSampler,linear_utilities,0.860549092292786,3.988483422914492,9.91628112451671e-8,524417,11.515148173,Within ftol
0.508619122905657,2.4949368329253,0.722651832426588,0.245044591914242,0.830439567705616,-0.184842068236321,8,1,EigenCovarSampler,log_utilities,0.830439567705616,39.202086457749374,2.0937858001505018e6,225905,3.440761458,Sigma too small
1.29872328706551,1.50633564183954,0.646041930342714,0.118737970090782,0.972815952993308,-0.447446489939466,32,8,EigenCovarSampler,log_utilities,0.972815952993308,21.414343287135736,3.9858877695994885,2258433,16.000569686,Exceeded time budget
2.32472213369329,0.268548901309259,1.90773822305103,0.654907672433183,0.866174243933832,-1.01816606032662,256,128,CholeskyCovarSampler,log_utilities,0.866174243933832,5.754203145058614,9.957215005706424e-8,537857,2.40761769,Within ftol
2.47256618225947,1.82830631989054,0.509403590811417,0.285538510108988,0.762091764248908,-0.0969003325638671,256,64,EigenCovarSampler,log_utilities,0.762091764248908,48.00106993415562,5.037783385208944e-5,3613697,16.000664038,Exceeded time budget
0.974116316414438,1.19749007897917,1.93878345858927,0.0875202023113767,0.858229647794118,-0.457651504315436,8,2,CholeskyCovarSampler,log_utilities,0.858229647794118,20.9170168408544,3.9861331066639725,663921,16.011367219,Exceeded time budget
1.29057818860747,0.42179066943936,1.38676050336411,1.27379619485388,0.695284325800215,-0.204068147965397,32,16,CholeskyCovarSampler,linear_utilities,0.695284325800215,37.504476034074585,0.24479501005563545,1669281,16.025509262,Exceeded time budget
0.950727062067017,1.71793750289362,0.0519586787559092,0.842900922133898,0.87619995783704,-0.0175304492780317,8,2,EigenCovarSampler,log_utilities,0.87619995783704,57.62630866271689,2.6963047239738285,654449,16.000567052,Exceeded time budget
