d1,d2,d3,d4,d5,d6,d7,lambda,mu,sigma,decompose_covar_prob,max_successes_before_increasing,max_failures_before_decreasing,max_rounds_without_improvement,MedianFitness,MedianFitnessMagnitude,MedianNumFuncEvals,MedianTime,SuccessRate
0.427209257351933,0.0632789103547111,0.767457073001424,0.0541403559909668,0.0300006779725663,0.629512602667091,0.95117753939121,50,1,20.56200196830425,0.031114738836477057,2,7,952,602943.624203229,5.7,62251.0,5.251389098,0.0
0.779891135636717,0.599902055662824,0.905231701501179,0.736623308272101,0.252675550756976,0.1559910060314,0.0680751412292011,210,18,38.78061154928963,0.29728309022611943,4,3,87,9.707881066348286e-8,-7.1,4.886281e6,418.578254823,1.0
0.966603012377163,0.234144936839584,0.188913214864442,0.181066849647323,0.421307584940223,0.958931434695842,0.500250513432547,447,15,1.4321142961018047,0.08061607136245597,5,10,510,0.008442098260280837,-2.1,9.398623e6,512.029817991,0.0
0.644468463666271,0.347385596338427,0.677027765806997,0.886072069086367,0.870457074634032,0.0499527889187448,0.30049356908421,121,6,13.558348165853428,0.3555681069436832,9,2,314,9.960671606137458e-8,-7.1,5.361995e6,491.262401507,1.0
0.319747436151374,0.76501128077507,0.557797696383204,0.801944895152701,0.58144363068277,0.303613644384313,0.1924465362099,32,3,7.829727422306349,0.3227585091095534,7,4,209,15.146380897674993,1.1,2.682465e6,512.033263391,0.0
0.593137213320006,0.470232280960772,0.274126190051902,0.253616409201641,0.999852141656447,0.773588015785208,0.758973221469205,98,7,2.120330841584744,0.10891039958864,10,8,764,0.02485659962324024,-1.7,3.890699e6,512.014410104,0.0
0.236302821926074,0.653013930394081,0.0639069322787691,0.389302428811789,0.676106588245602,0.543225673114648,0.48350475897314,23,2,0.8053137511164405,0.1618279472365977,7,6,494,33.680386038906434,1.5,2.071266e6,512.020218589,0.0
0.0175767603795975,0.967390632315073,0.482994445948862,0.605495732714189,0.236062053882051,0.445621336519253,0.725117969675921,10,1,5.548047137467148,0.24614333575853373,4,6,731,1.4791927427625242e8,8.1,5521.0,2.35709531,0.0
0.798605855321046,0.968321917106397,0.0141973655540496,0.227584915319923,0.950451290581841,0.26357032736158,0.650658167144749,226,31,0.6405395959400937,0.09875811697476997,10,4,658,9.521802795079942e-8,-7.1,4.358411e6,494.840776297,1.0
0.980303090754896,0.0955304056839086,0.57530930662062,0.137863330303691,0.99597339613596,0.323247110231314,0.104529445227236,473,6,8.487306062161377,0.0637666988184395,10,5,122,5.990376152846723,0.7,1.2524568e7,512.013425879,0.0
0.857869839258492,0.260727139457129,0.257715600747149,0.957813738317229,0.202301207464188,0.148595065330621,0.986950140360277,288,11,1.9659951941853553,0.38354735794371936,4,3,987,9.527377577172273e-8,-7.1,7.386049e6,426.580119482,1.0
0.89730242184177,0.654677536790725,0.120351700760424,0.995789168083109,0.989644094692077,0.00835810566367582,0.283493215634022,338,32,1.044370634564812,0.39835777555241253,10,2,298,9.925062066427511e-8,-7.1,5.618575e6,474.762579555,1.0
0.948747066160664,0.957021962152794,0.987537775771227,0.660934002180584,0.730271223346703,0.904377551340032,0.551788705587853,416,57,56.6535073825072,0.26776426085042776,8,9,561,2.2980523002609368,0.3,5.115553e6,512.577271102,0.0
0.982977110736538,0.195779713074677,0.469493393096142,0.948216127066873,0.993480466705747,0.127555049750954,0.930111792578828,478,13,5.213603944625413,0.3798042895560805,10,3,932,9.611487387496976e-8,-7.1,9.782749e6,473.855779471,1.0
0.975250758436974,0.847259064734913,0.408435146370437,0.568955209744163,0.620278706556186,0.0919633185034618,0.397547214944847,463,56,3.9356959794321096,0.2318925318002236,7,3,410,4.03571358971072,0.6,5.457382e6,512.019064518,0.0
0.986154494735412,0.0880851312871091,0.0187479080441408,0.996960629392415,0.734390889963601,0.303317126528826,0.127641218722332,484,6,0.6541043938814711,0.3988146454630419,8,4,145,6.6970074163189155,0.8,1.2520113e7,512.037550914,0.0
0.91582845875062,0.396686302004382,0.552118970663287,0.121538372140378,0.950896565363277,0.146348666914739,0.782359143166337,364,21,7.6276225096351675,0.057399965134747426,10,3,787,9.307595704116388e-8,-7.1,6.934929e6,444.623682752,1.0
