d1,d2,d3,d4,covar_learning_rate,sigma,lambda,mu,MedianFitness,MedianNumFuncEvals,SuccessRate
0.937835144251585,0.0408672796562314,0.941632483014837,0.520205151056871,0.9844587860628963,0.007957068363779234,243,25,9.87656083543124e-8,368267.5,0.8
0.647524460311979,0.386634672991931,0.396537457266822,0.064658980909735,0.9118811150779947,0.08670722144307881,121,32,9.636414523199886e-8,139695.5,1.0
0.143160999007523,0.553467565169558,0.556510776327923,0.333875305531546,0.7857902497518807,0.2745073301602729,157,22,7.967494240639077e-8,94122.5,0.9
0.265785612957552,0.644910139590502,0.176323091750965,0.622823831671849,0.816446403239388,0.5162756821032886,71,7,9.315091401191579e-8,41145.5,0.7
0.582152878213674,0.892832706263289,0.635795476287603,0.950153562566265,0.8955382195534185,2.861866488094784,174,12,7.828711528303668e-8,73081.0,0.8
0.92501735698781,0.987832791385008,0.388035985219758,0.441484776643338,0.9812543392469525,5.516322197625463,119,14,9.591084298180987e-8,130901.0,0.9
0.554711187917273,0.967623483031057,0.169186595978681,0.392581687633647,0.8886777969793183,4.79757419065397,70,9,8.306422116519047e-8,31186.0,1.0
0.98894142030389,0.981323066109326,0.440106687615626,0.0197043495730031,0.9972353550759725,5.273761054282783,131,41,9.991723188248413e-8,1.908802e6,0.6
0.173546632112702,0.959447671094676,0.699436897152336,0.166124555154238,0.7933866580281755,4.534133088781478,189,37,8.763624361764961e-8,196372.0,1.0
0.0147600319632329,0.961852370467968,0.324415105010848,0.349892250214471,0.7536900079908082,4.610078937424376,105,14,8.372088734586544e-8,65101.0,0.8
0.00670720541733317,0.0600050879234914,0.895595374599798,0.98857568930136,0.7516768013543333,0.009081686671151843,233,15,7.132409640274436e-8,128850.0,0.8
0.234325179567095,0.126658628289588,0.151157134312671,0.927569548460888,0.8085812948917738,0.014392198334292786,66,5,7.753048408603199e-8,36565.0,0.9
0.144267950308276,0.944631057296647,0.0626923338300548,0.98348199516884,0.7860669875770689,4.093025235334402,46,3,8.713329541187554e-8,20310.0,0.7
0.0328701650083531,0.0493798047117889,0.448216315978207,0.739188526447397,0.7582175412520883,0.008438993735945217,132,11,6.14834114837573e-8,75769.0,0.8
0.0633493415336125,0.888190775162075,0.495944873987464,0.786289707637625,0.7658373353834032,2.7715554755567595,143,11,7.170546442077429e-8,66996.5,0.7
0.534032839045394,0.535828118456993,0.042894504701253,0.84949529331876,0.8835082097613485,0.2430164127222149,42,3,8.401557910754122e-8,21043.0,0.7
0.1459175775724,0.0790750108251814,0.146614861524431,0.438066730258288,0.7864793943931,0.010360394266210939,65,8,6.881909067334623e-8,45338.5,0.8
0.0688050825404935,0.911166051377077,0.965838902166579,0.957853252395289,0.7672012706351233,3.248249681328896,248,17,7.61700676149348e-8,64233.0,0.9
0.136447333907709,0.466841151244007,0.847838309332728,0.972695768753765,0.7841118334769273,0.15089494952280563,222,15,7.492111819198665e-8,59053.0,0.9
0.171884545305511,0.486390641982434,0.397511633993126,0.951041961628944,0.7929711363263777,0.17271226366848313,121,8,7.347774159099591e-8,46283.5,1.0
0.0293544370401651,0.512348479256034,0.0472615814569872,0.388777269950369,0.7573386092600413,0.20663157601680104,43,6,1.9929439324095264,1.2761765e6,0.5
0.830621209002566,0.337368331461912,0.599538657760713,0.937511325383093,0.9576553022506415,0.06169589159142491,166,11,8.379096645943069e-8,147907.0,0.8
0.0184807450126391,0.925555100201163,0.858944998192601,0.570964397347998,0.7546201862531597,3.587703555371592,224,22,6.178929517226498e-8,77393.0,0.9
0.33498204135336,0.405639624077594,0.949627790830564,0.601978427537251,0.83374551033834,0.09887127225798692,245,23,6.626261221985043e-8,121153.5,0.9
0.0986365309159737,0.386995970355347,0.826527576425578,0.629273900209228,0.7746591327289934,0.08692389158302445,217,20,6.544504419053873e-8,156349.5,0.7
0.997758158505894,0.164016131431563,0.527212695891503,0.404618938486092,0.9994395396264735,0.01862943332778341,150,19,1.5451060938491817e-6,2.153176e6,0.5
0.433231975791277,0.225007446865784,0.961949300064007,0.245475736715598,0.8583079939478192,0.028390535941274903,247,40,8.610228398634516e-8,285903.5,1.0
0.465808299753116,0.400031367222546,0.040147588592954,0.488245824410114,0.866452074938279,0.09511419838347297,41,5,9.349322257732941e-8,14658.5,0.9
0.685881213373505,0.511645081694005,0.438441893110285,0.565926832144614,0.9214703033433762,0.20563000944492293,130,13,7.311439795721243e-8,58371.0,1.0
0.913024259647354,0.0986236376978923,0.118686859810259,0.466432728111977,0.9782560649118385,0.011858292633946402,59,7,9.04197219885963e-8,64222.5,0.7
0.231847356972285,0.0316769370483235,0.617482154913014,0.172152429914568,0.8079618392430713,0.0074676174440693344,170,33,7.398444066305712e-8,216241.0,0.9
0.423987962314859,0.557987095897552,0.852672742750728,0.53143877346185,0.8559969905787148,0.2832125785220103,223,23,8.003674438870388e-8,111166.5,0.9
0.030015970034292,0.416429527847795,0.915142729199724,0.0612703551538289,0.757503992508573,0.10652212803488553,237,63,1.669841126303152,2.050051e6,0.2
0.586331129394239,0.123986913699191,0.319342775382102,0.341645514433039,0.8965827823485597,0.014129018425283081,104,14,7.713761588411242e-8,59177.0,0.7
0.105515604510438,0.233287469738862,0.653062112787738,0.553531861618394,0.7763789011276095,0.030061708524049772,178,18,6.981252585582081e-8,104576.0,0.9
0.857724201477831,0.665384819254978,0.055221408738289,0.989683558791876,0.9644310503694578,0.5947106394438881,44,3,7.821631744515555e-8,23717.0,0.9
0.870880075045861,0.970348583717132,0.325092382115545,0.797653181201313,0.9677200187614652,4.88874068588019,105,8,8.435625406370694e-8,56228.5,1.0
0.801305092858383,0.0654202804889064,0.149009731679689,0.885439865373774,0.9503262732145957,0.009427837576323336,65,5,7.777962506634525e-8,48101.0,0.9
0.713837354278658,0.0217658321373165,0.0256054341304116,0.67053206808283,0.9284593385696644,0.006973466947497465,38,4,7.588907632299183e-8,32073.0,0.8
0.52589348387788,0.895705730969785,0.955562567793531,0.575061473977985,0.88147337096947,2.9192308725333036,246,24,8.096148454608437e-8,101845.0,0.8
0.279591039908119,0.797909419366624,0.130646162002813,0.227899938693736,0.8198977599770297,1.4855234385595308,61,11,7.425681833712923e-8,56914.0,0.9
0.148056891512824,0.220309525540797,0.0349316905415617,0.000244767182739452,0.787014222878206,0.02748399285756113,40,14,2.190966452316098,1.650161e6,0.0
0.171435404149815,0.177212606455432,0.135352634515148,0.232041153769242,0.7928588510374538,0.02040746544256824,62,11,8.674695846515813e-8,78710.0,0.7
0.487506922781467,0.79028149603284,0.472095400689868,0.0175701073044911,0.8718767306953668,1.4092749698328975,138,43,7.929723146200103e-8,174157.0,0.9
0.395911505830009,0.912233298697975,0.961958264233544,0.396346273656236,0.8489778764575022,3.2722851876765953,247,31,6.1190369762608e-8,170431.0,0.8
0.773436474842019,0.548138460335322,0.434880241028732,0.358821254387731,0.9433591187105048,0.2645858602971358,129,17,9.173951817013938e-8,128872.0,0.8
0.639379691039212,0.975294245892437,0.927786361550679,0.19301223544986,0.909844922759803,5.058642495938038,240,44,8.523838770738948e-8,266281.0,0.9
0.0723378975491505,0.0586839334852993,0.887993738271762,0.330495059967507,0.7680844743872877,0.008999182326093305,231,32,8.037763196239298e-8,145300.0,0.9
0.351920087903272,0.136942338664085,0.461400193959707,0.406926509175682,0.837980021975818,0.015451771115036051,135,17,6.414643274742737e-8,62506.0,1.0
0.0765604920638725,0.836830090145813,0.504117497242987,0.416734475824051,0.7691401230159681,1.9437549878950515,145,18,9.183315223683684e-8,98746.0,0.6
0.859543781625107,0.24077287093387,0.0161918233870529,0.0350386511732358,0.9648859454062768,0.03165700779664285,36,11,9.278932852731933e-8,51643.0,1.0
0.91224739712663,0.145779543321114,0.0100166533829179,0.289308018676238,0.9780618492816575,0.016424413881071125,34,6,8.605364184196506e-8,44405.0,0.9
0.871194528053748,0.0584504753584042,0.846288876984036,0.160759996084962,0.967798632013437,0.008984681296098904,222,44,9.729528074774542e-8,478744.0,0.8
0.967087805795018,0.677362136611482,0.237475255755708,0.176122092889855,0.9917719514487545,0.6460076489475833,85,17,9.854621740982554e-8,217813.5,1.0
0.827669847380603,0.582391444931272,0.874170506903902,0.252643435829086,0.9569174618451508,0.3352166527400783,228,37,9.408873158422194e-8,348955.0,0.8
0.664187474234495,0.973759811704513,0.203490430937381,0.11317200299236,0.9160468685586237,5.005306601883082,78,18,8.066665853555974e-8,113491.0,0.7
0.922780640005367,0.767183853361057,0.116838902804302,0.394458758633118,0.9806951600013417,1.201442001457952,58,8,9.07498881541232e-8,54956.0,1.0
0.365885125749046,0.714949927362613,0.00189352581161074,0.00265012022806332,0.8414712814372615,0.8375312732323729,32,11,9.154349627169032e-8,68801.0,0.8
0.976141510601156,0.699286698050564,0.898895681004506,0.0445544531976338,0.994035377650289,0.7516425279859491,233,66,0.07826516652425032,2.124262e6,0.5
0.608937837297562,0.376349570808234,0.972546774669317,0.0617140739632305,0.9022344593243905,0.08076067921679911,250,66,9.469234631892251e-8,393001.0,1.0
0.0666128424636554,0.596869920273311,0.953037206159206,0.277838535781484,0.7666532106159138,0.37047679524670485,245,38,9.197418618369e-8,377546.0,0.8
0.376789264556719,0.994402255591704,0.563637548396364,0.333934711097972,0.8441973161391798,5.772421254948,158,22,7.469192382431123e-8,76789.0,0.9
0.491783331066836,0.885310201473767,0.00762401432846673,0.44326517290785,0.872945832766709,2.716951305190961,34,4,8.945958463416317e-8,22645.0,0.7
0.955173667842755,0.351105818067445,0.124346776653547,0.71525324992137,0.9887934169606888,0.06783732349216055,60,5,9.339721989836718e-8,83791.0,0.8
0.300799503338058,0.217123865223257,0.318277692679549,0.627507838298334,0.8251998758345145,0.026885792720088886,103,10,7.462009358485397e-8,42849.0,0.9
0.862346753067104,0.891056712821592,0.0739590265369043,0.598342713490128,0.965586688266776,2.8269712308989994,49,5,7.931982591199215e-8,32635.0,0.9
0.421438227182953,0.961338131413795,0.281439103219891,0.837435579593293,0.8553595567957383,4.593731893436432,95,7,6.712801707822341e-8,24416.0,0.9
0.869467645857949,0.436574656622251,0.710048732962459,0.404877240932547,0.9673669114644873,0.12242643979892273,191,24,9.52452952595271e-8,228819.0,0.7
0.0364230097690597,0.649223724842304,0.0885736828530207,0.824538398759905,0.759105752442265,0.5318907343825199,52,4,3.9858877695994885,1.710047e6,0.4
0.506894347625785,0.901119861233747,0.404057633400662,0.432881670154165,0.8767235869064463,3.030475896316431,123,15,7.935263176014379e-8,86531.5,0.8
0.0171757926396094,0.430587593858363,0.910889469026588,0.893962357101263,0.7542939481599024,0.1174665008477199,236,17,6.938001572882704e-8,114461.0,1.0
0.130712598286336,0.355872573675588,0.153325420978945,0.904798066839576,0.782678149571584,0.07010822493974951,66,5,8.044073724414081e-8,42373.0,0.6
0.370731747864047,0.594667651193449,0.221679005374899,0.229338904161705,0.8426829369660117,0.3648834822839493,82,14,7.915587235469649e-8,46905.0,0.8
0.61481776346569,0.657876803015824,0.449429331562715,0.0501250875403639,0.9037044408664225,0.5646530254089176,133,37,8.252510802203419e-8,161396.5,1.0
0.483851239545038,0.469909881751519,0.662939763489412,0.166110133330803,0.8709628098862595,0.15412777027665875,180,35,7.251228156731979e-8,129961.0,1.0
0.736967172637815,0.132569774291478,0.692345886490075,0.0910864957643207,0.9342417931594538,0.014992034510535547,187,45,9.360799042793232e-8,241418.0,1.0
0.0782140059606172,0.779817356774583,0.433814363881247,0.0752033108309843,0.7695535014901543,1.3110018988090408,129,33,9.642302272507163e-8,234652.0,0.8
0.987176195860375,0.806967253657058,0.162386043224251,0.879652021696093,0.9967940489650937,1.5814410631757805,68,5,9.830184766891963e-8,143685.0,0.9
0.896404293263331,0.648605136125116,0.776170852098148,0.752137298812158,0.9741010733158327,0.5296227826366459,206,17,9.065217795011114e-8,282530.0,0.9
0.882632315497613,0.63894082032959,0.191189731901977,0.0161517985758837,0.9706580788744033,0.4954202012196128,75,24,9.661647421426481e-8,150938.5,1.0
0.114700303024147,0.928496938062599,0.169423322562361,0.185853332957486,0.7786750757560368,3.6613568972709554,70,13,8.443105668956149e-8,59361.0,0.8
0.108583017839119,0.595599819425261,0.66013721125666,0.731576891837176,0.7771457544597797,0.3672406172384913,180,15,7.31698770650908e-8,64261.0,0.8
0.168550306705292,0.81137750109192,0.332364458495285,0.0225281197088771,0.792137576676323,1.6303609086525763,106,33,9.649651358685852e-8,326322.0,0.7
0.180657895953627,0.587874496664153,0.875665290490724,0.889690912439255,0.7951644739884067,0.34815668647653464,228,16,7.587414490315269e-8,150709.0,0.7
0.858287140470929,0.440608054324985,0.0281444289989304,0.562841630062321,0.9645717851177322,0.12588541424762364,38,4,7.604860652969869e-8,39863.0,0.8
0.286893781479448,0.0481734212057199,0.593257122164359,0.792265661341371,0.821723445369862,0.008368960421567416,165,13,8.494043347715939e-8,77633.5,0.8
0.176486962682102,0.512243631619494,0.062055015922524,0.0476433307596017,0.7941217406705255,0.20648197483831066,46,13,9.766707031724254e-8,914435.0,0.5
0.215934621433262,0.982530137358699,0.321528500297572,0.991401074184105,0.8039836553583155,5.317918318932256,104,7,7.797089427499236e-8,24961.0,0.9
0.150361421299167,0.129173594043823,0.874833334664581,0.700002845454728,0.7875903553247917,0.01464441516520889,228,19,7.60874510768921e-8,130417.0,0.9
0.933031459830236,0.818297770470381,0.0788131938781589,0.942596788851079,0.983257864957559,1.7101907841884925,50,4,9.23005526192109e-8,36351.0,0.8
0.719998944496037,0.347191644383129,0.0258696747093927,0.895276277295779,0.9299997361240092,0.06602770215158651,38,3,6.320702961100398e-8,17044.0,1.0
0.246757467840798,0.902994379275478,0.791125115619507,0.926694984989008,0.8116893669601994,3.069971814392438,209,14,7.0337515308205e-8,107113.5,0.9
0.489118617789354,0.438173240781762,0.382870684172958,0.409473100109026,0.8722796544473385,0.12378584132045221,118,15,6.57785143645627e-8,58883.0,0.9
0.722142015916761,0.1171939664823,0.852922068994958,0.775251317817019,0.9305355039791903,0.013481342733870014,223,18,7.839937222145201e-8,146735.0,1.0
0.191997889284976,0.974419425033266,0.377525219609961,0.168664770476753,0.797999472321244,5.0281650555286515,117,23,8.693953567921896e-8,64877.5,1.0
0.552771376811434,0.543965515603777,0.548018375438405,0.918265784546966,0.8881928442028585,0.2570678688664382,155,11,6.20909908082511e-8,67348.5,1.0
0.463357069547055,0.0397522923559882,0.391500625496265,0.982899938047631,0.8658392673867638,0.007896017959240225,120,8,8.785477729197723e-8,43501.0,0.9
0.329031712434953,0.685519181755371,0.54270457007573,0.817179062571377,0.8322579281087382,0.683453222640817,154,12,7.028215833789452e-8,53054.0,0.9
0.735074708381435,0.141680625567678,0.0129530929366592,0.358084998195991,0.9337686770953587,0.01596588979026068,35,5,7.279307101134564e-8,34598.5,0.9
0.87773504667799,0.170253662995528,0.120890454525361,0.96684085506713,0.9694337616694975,0.019449670101370026,59,4,8.02488725131038e-8,44162.5,0.8
