

RunID,N,Sampler,Utilities,Mu,Lambda,NumFuncEvals,Time,Fitness
1,2,CholeskyCovarSampler,log_utilities,1,8,1000,0.003365855,2.9930304398286904e-6
1,2,CholeskyCovarSampler,log_utilities,1,8,1000,0.007542844,1.807534642560516e-19
1,2,CholeskyCovarSampler,log_utilities,2,8,1000,0.003450851,5.687301125169657e-22
1,2,CholeskyCovarSampler,log_utilities,3,8,1000,0.004022823,0.001323254582166314
1,2,CholeskyCovarSampler,log_utilities,4,8,1000,0.003958117,3.725411139506361e-13
1,2,CholeskyCovarSampler,log_utilities,1,16,1008,0.004783701,1.1707303962993611e-15
1,2,CholeskyCovarSampler,log_utilities,2,16,1008,0.004571647,7.76886809972809e-17
1,2,CholeskyCovarSampler,log_utilities,3,16,1008,0.004543281,1.9864743820010026e-9
1,2,CholeskyCovarSampler,log_utilities,6,16,1008,0.00326541,0.0009406605378797876
1,2,CholeskyCovarSampler,log_utilities,8,16,1008,0.004527213,0.14022406092434309
1,2,EigenCovarSampler,linear_utilities,1,8,10000,0.077107512,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,10000,0.068019917,0.0
1,2,EigenCovarSampler,linear_utilities,2,8,10000,0.078942922,1.9721522630525295e-29
1,2,EigenCovarSampler,linear_utilities,3,8,10000,0.080390992,0.0
1,2,EigenCovarSampler,linear_utilities,4,8,10000,0.061146892,0.5205580089159297
1,2,EigenCovarSampler,linear_utilities,1,4,10000,0.135849749,0.0
1,2,EigenCovarSampler,linear_utilities,1,4,10000,0.122569814,0.0
1,2,EigenCovarSampler,linear_utilities,1,4,10000,0.113004417,0.0
1,2,EigenCovarSampler,linear_utilities,2,4,10000,0.116679833,0.0005763243233046885
1,2,EigenCovarSampler,linear_utilities,2,4,10000,0.122786836,0.30289096562413115
1,2,EigenCovarSampler,linear_utilities,1,8,10000,0.062550355,0.0
1,2,EigenCovarSampler,linear_utilities,1,8,10000,0.06634786,0.0
1,2,EigenCovarSampler,linear_utilities,2,8,10000,0.06714392,0.0
1,2,EigenCovarSampler,linear_utilities,3,8,10000,0.058235238,0.0
1,2,EigenCovarSampler,linear_utilities,4,8,10000,0.071812017,0.6296945803290774
1,2,EigenCovarSampler,linear_utilities,1,16,10000,0.038440161,0.0
1,2,EigenCovarSampler,linear_utilities,2,16,10000,0.065810836,0.0
1,2,EigenCovarSampler,linear_utilities,3,16,10000,0.054299632,0.0
1,2,EigenCovarSampler,linear_utilities,6,16,10000,0.052855362,0.0
1,2,EigenCovarSampler,linear_utilities,8,16,10000,0.049377533,0.4099392869870553
1,2,CholeskyCovarSampler,linear_utilities,1,8,10000,0.063517653,0.0
1,2,CholeskyCovarSampler,linear_utilities,1,8,10000,0.078231851,4.930380657631324e-32
1,2,CholeskyCovarSampler,linear_utilities,2,8,10000,0.068776032,4.930380657631324e-32
